"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"11000000","milk, human",NA,"human milk","cup","246"
"11000000","milk, human",NA,"human milk","quantity not specified","0"
"11000000","milk, human",NA,"human milk","fl oz","30.8"
"11100000","milk, nfs",NA,"milk, reduced fat","cup","244"
"11100000","milk, nfs",NA,"milk, reduced fat","fl oz","30.5"
"11100000","milk, nfs",NA,"milk, reduced fat","individual school container","244"
"11100000","milk, nfs",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.5"
"11100000","milk, nfs",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11100000","milk, nfs",NA,"milk, reduced fat","quantity not specified","244"
"11111000","milk, whole",NA,"milk, whole","cup","244"
"11111000","milk, whole",NA,"milk, whole","fl oz","30.5"
"11111000","milk, whole",NA,"milk, whole","individual school container","244"
"11111000","milk, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111000","milk, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111000","milk, whole",NA,"milk, whole","quantity not specified","244"
"11111100","milk, low sodium, whole",NA,"milk, whole","cup","244"
"11111100","milk, low sodium, whole",NA,"milk, whole","fl oz","30.5"
"11111100","milk, low sodium, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111100","milk, low sodium, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111100","milk, low sodium, whole",NA,"milk, whole","quantity not specified","244"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","cup","244"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","fl oz","30.5"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","quantity not specified","244"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","cup","244"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11111170","milk, calcium fortified, fat free (skim)",NA,"milk, nonfat","cup","244"
"11111170","milk, calcium fortified, fat free (skim)",NA,"milk, nonfat","fl oz","30.5"
"11111170","milk, calcium fortified, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.5"
"11111170","milk, calcium fortified, fat free (skim)",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11111170","milk, calcium fortified, fat free (skim)",NA,"milk, nonfat","quantity not specified","244"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","cup","244"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","fl oz","30.5"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","individual school container","244"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.5"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11112110","milk, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified","244"
"11112120","milk, acidophilus, low fat (1%)",NA,"milk, lowfat","cup","244"
"11112120","milk, acidophilus, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11112120","milk, acidophilus, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11112120","milk, acidophilus, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11112120","milk, acidophilus, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11112130","milk, acidophilus, reduced fat (2%)",NA,"milk, reduced fat","cup","244"
"11112130","milk, acidophilus, reduced fat (2%)",NA,"milk, reduced fat","fl oz","30.5"
"11112130","milk, acidophilus, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified","244"
"11112130","milk, acidophilus, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.5"
"11112130","milk, acidophilus, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","cup","244"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","individual school container","244"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11112210","milk, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","cup","244"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","fl oz","30.5"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","individual school container","244"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.5"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11113000","milk, fat free (skim)",NA,"milk, nonfat","quantity not specified","244"
"11114300","milk, lactose free, low fat (1%)",NA,"milk, lowfat","cup","244"
"11114300","milk, lactose free, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11114300","milk, lactose free, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11114300","milk, lactose free, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11114300","milk, lactose free, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11114320","milk, lactose free, fat free (skim)",NA,"milk, nonfat","cup","244"
"11114320","milk, lactose free, fat free (skim)",NA,"milk, nonfat","fl oz","30.5"
"11114320","milk, lactose free, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.5"
"11114320","milk, lactose free, fat free (skim)",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11114320","milk, lactose free, fat free (skim)",NA,"milk, nonfat","quantity not specified","244"
"11114330","milk, lactose free, reduced fat (2%)",NA,"milk, reduced fat","cup","244"
"11114330","milk, lactose free, reduced fat (2%)",NA,"milk, reduced fat","fl oz","30.5"
"11114330","milk, lactose free, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.5"
"11114330","milk, lactose free, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11114330","milk, lactose free, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified","244"
"11114350","milk, lactose free, whole",NA,"milk, whole","cup","244"
"11114350","milk, lactose free, whole",NA,"milk, whole","fl oz","30.5"
"11114350","milk, lactose free, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11114350","milk, lactose free, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11114350","milk, lactose free, whole",NA,"milk, whole","quantity not specified","244"
"11115000","buttermilk, fat free (skim)",NA,"milk, nonfat","cup","244"
"11115000","buttermilk, fat free (skim)",NA,"milk, nonfat","fl oz","30.5"
"11115000","buttermilk, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.6"
"11115000","buttermilk, fat free (skim)",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11115000","buttermilk, fat free (skim)",NA,"milk, nonfat","quantity not specified","244"
"11115100","buttermilk, low fat (1%)",NA,"milk, lowfat","cup","244"
"11115100","buttermilk, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11115100","buttermilk, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.6"
"11115100","buttermilk, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11115100","buttermilk, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11115200","buttermilk, reduced fat (2%)",NA,"milk, reduced fat","cup","244"
"11115200","buttermilk, reduced fat (2%)",NA,"milk, reduced fat","fl oz","30.5"
"11115200","buttermilk, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.6"
"11115200","buttermilk, reduced fat (2%)",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11115200","buttermilk, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified","244"
"11115300","buttermilk, whole",NA,"milk, whole","cup","244"
"11115300","buttermilk, whole",NA,"milk, whole","fl oz","30.5"
"11115300","buttermilk, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.6"
"11115300","buttermilk, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11115300","buttermilk, whole",NA,"milk, whole","quantity not specified","244"
"11115400","kefir, ns as to fat content",NA,"milk, lowfat","cup","244"
"11115400","kefir, ns as to fat content",NA,"milk, lowfat","fl oz","30.5"
"11115400","kefir, ns as to fat content",NA,"milk, lowfat","quantity not specified","244"
"11116000","goat's milk, whole",NA,"milk, whole","cup","244"
"11116000","goat's milk, whole",NA,"milk, whole","fl oz","30.5"
"11116000","goat's milk, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11116000","goat's milk, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11116000","goat's milk, whole",NA,"milk, whole","quantity not specified","244"
"11120000","milk, dry, reconstituted, ns as to fat content",NA,"milk, nonfat","cup","244"
"11120000","milk, dry, reconstituted, ns as to fat content",NA,"milk, nonfat","fl oz","30.5"
"11120000","milk, dry, reconstituted, ns as to fat content",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.5"
"11120000","milk, dry, reconstituted, ns as to fat content",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11120000","milk, dry, reconstituted, ns as to fat content",NA,"milk, nonfat","quantity not specified","244"
"11121100","milk, dry, reconstituted, whole",NA,"milk, whole","cup","244"
"11121100","milk, dry, reconstituted, whole",NA,"milk, whole","fl oz","30.5"
"11121100","milk, dry, reconstituted, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11121100","milk, dry, reconstituted, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11121100","milk, dry, reconstituted, whole",NA,"milk, whole","quantity not specified","244"
"11121210","milk, dry, reconstituted, low fat (1%)",NA,"milk, lowfat","cup","244"
"11121210","milk, dry, reconstituted, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11121210","milk, dry, reconstituted, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11121210","milk, dry, reconstituted, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11121210","milk, dry, reconstituted, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
"11121300","milk, dry, reconstituted, fat free (skim)",NA,"milk, nonfat","cup","244"
"11121300","milk, dry, reconstituted, fat free (skim)",NA,"milk, nonfat","fl oz","30.5"
"11121300","milk, dry, reconstituted, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.5"
"11121300","milk, dry, reconstituted, fat free (skim)",NA,"milk, nonfat","guideline amount per cup of hot cereal","61"
"11121300","milk, dry, reconstituted, fat free (skim)",NA,"milk, nonfat","quantity not specified","244"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","cup","252"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","fl oz","31.5"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","quantity not specified","16"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","guideline amount per fl oz of beverage","2.6"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","quantity not specified, as a drink or on cereal","126"
"11210050","milk, evaporated, ns as to fat content",NA,"milk, whole","quantity not specified, if in beverage","16"
"11211050","milk, evaporated, whole",NA,"milk, whole","cup","252"
"11211050","milk, evaporated, whole",NA,"milk, whole","fl oz","31.5"
"11211050","milk, evaporated, whole",NA,"milk, whole","quantity not specified","16"
"11211050","milk, evaporated, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.6"
"11211050","milk, evaporated, whole",NA,"milk, whole","quantity not specified, as a drink or on cereal","126"
"11211050","milk, evaporated, whole",NA,"milk, whole","quantity not specified, if in beverage","16"
"11211400","milk, evaporated, reduced fat (2%)",NA,"milk, reduced fat","cup","252"
"11211400","milk, evaporated, reduced fat (2%)",NA,"milk, reduced fat","fl oz","31.5"
"11211400","milk, evaporated, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified, if in beverage","16"
"11211400","milk, evaporated, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified, as a drink or on cereal","126"
"11211400","milk, evaporated, reduced fat (2%)",NA,"milk, reduced fat","quantity not specified","16"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","cup","252"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","fl oz","31.5"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","quantity not specified","16"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","guideline amount per fl oz of beverage","2.6"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","quantity not specified, as a drink or on cereal","126"
"11212050","milk, evaporated, fat free (skim)",NA,"milk, nonfat","quantity not specified, if in beverage","16"
"11220000","milk, condensed, sweetened",NA,"flavored milk, whole","cup","304"
"11220000","milk, condensed, sweetened",NA,"flavored milk, whole","fl oz","38"
"11220000","milk, condensed, sweetened",NA,"flavored milk, whole","quantity not specified","19"
"11300100","non-dairy milk, nfs",NA,"milk substitutes","cup","244"
"11300100","non-dairy milk, nfs",NA,"milk substitutes","fl oz","30.5"
"11300100","non-dairy milk, nfs",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11300100","non-dairy milk, nfs",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11300100","non-dairy milk, nfs",NA,"milk substitutes","quantity not specified","244"
"11320000","soy milk",NA,"milk substitutes","cup","244"
"11320000","soy milk",NA,"milk substitutes","fl oz","30.5"
"11320000","soy milk",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11320000","soy milk",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11320000","soy milk",NA,"milk substitutes","quantity not specified","244"
"11320100","soy milk, light",NA,"milk substitutes","cup","244"
"11320100","soy milk, light",NA,"milk substitutes","fl oz","30.5"
"11320100","soy milk, light",NA,"milk substitutes","quantity not specified","244"
"11320200","soy milk, nonfat",NA,"milk substitutes","cup","244"
"11320200","soy milk, nonfat",NA,"milk substitutes","fl oz","30.5"
"11320200","soy milk, nonfat",NA,"milk substitutes","quantity not specified","244"
"11321000","soy milk, chocolate",NA,"milk substitutes","cup","244"
"11321000","soy milk, chocolate",NA,"milk substitutes","fl oz","30.5"
"11321000","soy milk, chocolate",NA,"milk substitutes","quantity not specified","244"
"11321100","soy milk, light, chocolate",NA,"milk substitutes","cup","244"
"11321100","soy milk, light, chocolate",NA,"milk substitutes","fl oz","30.5"
"11321100","soy milk, light, chocolate",NA,"milk substitutes","quantity not specified","244"
"11321200","soy milk, nonfat, chocolate",NA,"milk substitutes","cup","244"
"11321200","soy milk, nonfat, chocolate",NA,"milk substitutes","fl oz","30.5"
"11321200","soy milk, nonfat, chocolate",NA,"milk substitutes","quantity not specified","244"
"11350000","almond milk, sweetened",NA,"milk substitutes","cup","244"
"11350000","almond milk, sweetened",NA,"milk substitutes","fl oz","30.5"
"11350000","almond milk, sweetened",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11350000","almond milk, sweetened",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11350000","almond milk, sweetened",NA,"milk substitutes","quantity not specified","244"
"11350010","almond milk, sweetened, chocolate",NA,"milk substitutes","cup","244"
"11350010","almond milk, sweetened, chocolate",NA,"milk substitutes","fl oz","30.5"
"11350010","almond milk, sweetened, chocolate",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11350010","almond milk, sweetened, chocolate",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11350010","almond milk, sweetened, chocolate",NA,"milk substitutes","quantity not specified","244"
"11350020","almond milk, unsweetened",NA,"milk substitutes","cup","244"
"11350020","almond milk, unsweetened",NA,"milk substitutes","fl oz","30.5"
"11350020","almond milk, unsweetened",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11350020","almond milk, unsweetened",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11350020","almond milk, unsweetened",NA,"milk substitutes","quantity not specified","244"
"11350030","almond milk, unsweetened, chocolate",NA,"milk substitutes","cup","244"
"11350030","almond milk, unsweetened, chocolate",NA,"milk substitutes","fl oz","30.5"
"11350030","almond milk, unsweetened, chocolate",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11350030","almond milk, unsweetened, chocolate",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11350030","almond milk, unsweetened, chocolate",NA,"milk substitutes","quantity not specified","244"
"11360000","rice milk",NA,"milk substitutes","cup","244"
"11360000","rice milk",NA,"milk substitutes","fl oz","30.5"
"11360000","rice milk",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11360000","rice milk",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11360000","rice milk",NA,"milk substitutes","quantity not specified","244"
"11370000","coconut milk",NA,"milk substitutes","cup","244"
"11370000","coconut milk",NA,"milk substitutes","fl oz","30.5"
"11370000","coconut milk",NA,"milk substitutes","guideline amount per fl oz of beverage","2.5"
"11370000","coconut milk",NA,"milk substitutes","guideline amount per cup of hot cereal","61"
"11370000","coconut milk",NA,"milk substitutes","quantity not specified","244"
"11400000","yogurt, nfs",NA,"yogurt, regular","4 oz container","113"
"11400000","yogurt, nfs",NA,"yogurt, regular","6 oz container","170"
"11400000","yogurt, nfs",NA,"yogurt, regular","container, nfs","170"
"11400000","yogurt, nfs",NA,"yogurt, regular","cup","245"
"11400000","yogurt, nfs",NA,"yogurt, regular","quantity not specified","170"
"11400010","yogurt, greek, ns as to type of milk or flavor",NA,"yogurt, greek","5.3 oz container","150"
"11400010","yogurt, greek, ns as to type of milk or flavor",NA,"yogurt, greek","6 oz container","170"
"11400010","yogurt, greek, ns as to type of milk or flavor",NA,"yogurt, greek","container, nfs","150"
"11400010","yogurt, greek, ns as to type of milk or flavor",NA,"yogurt, greek","cup","245"
"11400010","yogurt, greek, ns as to type of milk or flavor",NA,"yogurt, greek","quantity not specified","150"
"11410000","yogurt, ns as to type of milk or flavor",NA,"yogurt, regular","4 oz container","113"
"11410000","yogurt, ns as to type of milk or flavor",NA,"yogurt, regular","6 oz container","170"
"11410000","yogurt, ns as to type of milk or flavor",NA,"yogurt, regular","container, nfs","170"
"11410000","yogurt, ns as to type of milk or flavor",NA,"yogurt, regular","cup","245"
"11410000","yogurt, ns as to type of milk or flavor",NA,"yogurt, regular","quantity not specified","170"
"11411010","yogurt, ns as to type of milk, plain",NA,"yogurt, regular","4 oz container","113"
"11411010","yogurt, ns as to type of milk, plain",NA,"yogurt, regular","6 oz container","170"
"11411010","yogurt, ns as to type of milk, plain",NA,"yogurt, regular","container, nfs","170"
"11411010","yogurt, ns as to type of milk, plain",NA,"yogurt, regular","cup","245"
"11411010","yogurt, ns as to type of milk, plain",NA,"yogurt, regular","quantity not specified","170"
"11411100","yogurt, whole milk, plain",NA,"yogurt, regular","4 oz container","113"
"11411100","yogurt, whole milk, plain",NA,"yogurt, regular","6 oz container","170"
"11411100","yogurt, whole milk, plain",NA,"yogurt, regular","container, nfs","170"
"11411100","yogurt, whole milk, plain",NA,"yogurt, regular","cup","245"
"11411100","yogurt, whole milk, plain",NA,"yogurt, regular","quantity not specified","170"
"11411200","yogurt, low fat milk, plain",NA,"yogurt, regular","4 oz container","113"
"11411200","yogurt, low fat milk, plain",NA,"yogurt, regular","6 oz container","170"
"11411200","yogurt, low fat milk, plain",NA,"yogurt, regular","container, nfs","170"
"11411200","yogurt, low fat milk, plain",NA,"yogurt, regular","cup","245"
"11411200","yogurt, low fat milk, plain",NA,"yogurt, regular","quantity not specified","170"
"11411300","yogurt, nonfat milk, plain",NA,"yogurt, regular","4 oz container","113"
"11411300","yogurt, nonfat milk, plain",NA,"yogurt, regular","6 oz container","170"
"11411300","yogurt, nonfat milk, plain",NA,"yogurt, regular","container, nfs","170"
"11411300","yogurt, nonfat milk, plain",NA,"yogurt, regular","cup","245"
"11411300","yogurt, nonfat milk, plain",NA,"yogurt, regular","quantity not specified","170"
"11411390","yogurt, greek, ns as to type of milk, plain",NA,"yogurt, greek","5.3 oz container","150"
"11411390","yogurt, greek, ns as to type of milk, plain",NA,"yogurt, greek","6 oz container","170"
"11411390","yogurt, greek, ns as to type of milk, plain",NA,"yogurt, greek","container, nfs","150"
"11411390","yogurt, greek, ns as to type of milk, plain",NA,"yogurt, greek","cup","245"
"11411390","yogurt, greek, ns as to type of milk, plain",NA,"yogurt, greek","quantity not specified","150"
"11411400","yogurt, greek, whole milk, plain",NA,"yogurt, greek","5.3 oz container","150"
"11411400","yogurt, greek, whole milk, plain",NA,"yogurt, greek","6 oz container","170"
"11411400","yogurt, greek, whole milk, plain",NA,"yogurt, greek","container, nfs","150"
"11411400","yogurt, greek, whole milk, plain",NA,"yogurt, greek","cup","245"
"11411400","yogurt, greek, whole milk, plain",NA,"yogurt, greek","quantity not specified","150"
"11411410","yogurt, greek, low fat milk, plain",NA,"yogurt, greek","5.3 oz container","150"
"11411410","yogurt, greek, low fat milk, plain",NA,"yogurt, greek","6 oz container","170"
"11411410","yogurt, greek, low fat milk, plain",NA,"yogurt, greek","container, nfs","150"
"11411410","yogurt, greek, low fat milk, plain",NA,"yogurt, greek","cup","245"
"11411410","yogurt, greek, low fat milk, plain",NA,"yogurt, greek","quantity not specified","150"
"11411420","yogurt, greek, nonfat milk, plain",NA,"yogurt, greek","5.3 oz container","150"
"11411420","yogurt, greek, nonfat milk, plain",NA,"yogurt, greek","6 oz container","170"
"11411420","yogurt, greek, nonfat milk, plain",NA,"yogurt, greek","container, nfs","150"
"11411420","yogurt, greek, nonfat milk, plain",NA,"yogurt, greek","cup","245"
"11411420","yogurt, greek, nonfat milk, plain",NA,"yogurt, greek","quantity not specified","150"
"11430000","yogurt, ns as to type of milk, fruit",NA,"yogurt, regular","4 oz container","113"
"11430000","yogurt, ns as to type of milk, fruit",NA,"yogurt, regular","6 oz container","170"
"11430000","yogurt, ns as to type of milk, fruit",NA,"yogurt, regular","container, nfs","170"
"11430000","yogurt, ns as to type of milk, fruit",NA,"yogurt, regular","cup","245"
"11430000","yogurt, ns as to type of milk, fruit",NA,"yogurt, regular","quantity not specified","170"
"11431000","yogurt, whole milk, fruit",NA,"yogurt, regular","4 oz container","113"
"11431000","yogurt, whole milk, fruit",NA,"yogurt, regular","6 oz container","170"
"11431000","yogurt, whole milk, fruit",NA,"yogurt, regular","container, nfs","170"
"11431000","yogurt, whole milk, fruit",NA,"yogurt, regular","cup","245"
"11431000","yogurt, whole milk, fruit",NA,"yogurt, regular","quantity not specified","170"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","tube","64"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","4 oz container","113"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","6 oz container","170"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","container, nfs","170"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","cup","245"
"11432000","yogurt, low fat milk, fruit",NA,"yogurt, regular","quantity not specified","170"
"11433000","yogurt, nonfat milk, fruit",NA,"yogurt, regular","4 oz container","113"
"11433000","yogurt, nonfat milk, fruit",NA,"yogurt, regular","6 oz container","170"
"11433000","yogurt, nonfat milk, fruit",NA,"yogurt, regular","container, nfs","170"
"11433000","yogurt, nonfat milk, fruit",NA,"yogurt, regular","cup","245"
"11433000","yogurt, nonfat milk, fruit",NA,"yogurt, regular","quantity not specified","170"
"11433990","yogurt, greek, ns as to type of milk, fruit",NA,"yogurt, greek","5.3 oz container","150"
"11433990","yogurt, greek, ns as to type of milk, fruit",NA,"yogurt, greek","6 oz container","170"
"11433990","yogurt, greek, ns as to type of milk, fruit",NA,"yogurt, greek","container, nfs","150"
"11433990","yogurt, greek, ns as to type of milk, fruit",NA,"yogurt, greek","cup","245"
"11433990","yogurt, greek, ns as to type of milk, fruit",NA,"yogurt, greek","quantity not specified","150"
"11434000","yogurt, greek, whole milk, fruit",NA,"yogurt, greek","5.3 oz container","150"
"11434000","yogurt, greek, whole milk, fruit",NA,"yogurt, greek","6 oz container","170"
"11434000","yogurt, greek, whole milk, fruit",NA,"yogurt, greek","container, nfs","150"
"11434000","yogurt, greek, whole milk, fruit",NA,"yogurt, greek","cup","245"
"11434000","yogurt, greek, whole milk, fruit",NA,"yogurt, greek","quantity not specified","150"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","tube","57"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","5.3 oz container","150"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","6 oz container","170"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","container, nfs","150"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","cup","245"
"11434010","yogurt, greek, low fat milk, fruit",NA,"yogurt, greek","quantity not specified","150"
"11434020","yogurt, greek, nonfat milk, fruit",NA,"yogurt, greek","5.3 oz container","150"
"11434020","yogurt, greek, nonfat milk, fruit",NA,"yogurt, greek","6 oz container","170"
"11434020","yogurt, greek, nonfat milk, fruit",NA,"yogurt, greek","container, nfs","150"
"11434020","yogurt, greek, nonfat milk, fruit",NA,"yogurt, greek","cup","245"
"11434020","yogurt, greek, nonfat milk, fruit",NA,"yogurt, greek","quantity not specified","150"
"11434090","yogurt, ns as to type of milk, flavors other than fruit",NA,"yogurt, regular","4 oz container","113"
"11434090","yogurt, ns as to type of milk, flavors other than fruit",NA,"yogurt, regular","6 oz container","170"
"11434090","yogurt, ns as to type of milk, flavors other than fruit",NA,"yogurt, regular","container, nfs","170"
"11434090","yogurt, ns as to type of milk, flavors other than fruit",NA,"yogurt, regular","cup","245"
"11434090","yogurt, ns as to type of milk, flavors other than fruit",NA,"yogurt, regular","quantity not specified","170"
"11434100","yogurt, whole milk, flavors other than fruit",NA,"yogurt, regular","4 oz container","113"
"11434100","yogurt, whole milk, flavors other than fruit",NA,"yogurt, regular","6 oz container","170"
"11434100","yogurt, whole milk, flavors other than fruit",NA,"yogurt, regular","container, nfs","170"
"11434100","yogurt, whole milk, flavors other than fruit",NA,"yogurt, regular","cup","245"
"11434100","yogurt, whole milk, flavors other than fruit",NA,"yogurt, regular","quantity not specified","170"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","tube","64"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","4 oz container","113"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","6 oz container","170"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","container, nfs","170"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","cup","245"
"11434200","yogurt, low fat milk, flavors other than fruit",NA,"yogurt, regular","quantity not specified","170"
"11434300","yogurt, nonfat milk, flavors other than fruit",NA,"yogurt, regular","4 oz container","113"
"11434300","yogurt, nonfat milk, flavors other than fruit",NA,"yogurt, regular","6 oz container","170"
"11434300","yogurt, nonfat milk, flavors other than fruit",NA,"yogurt, regular","container, nfs","170"
"11434300","yogurt, nonfat milk, flavors other than fruit",NA,"yogurt, regular","cup","245"
"11434300","yogurt, nonfat milk, flavors other than fruit",NA,"yogurt, regular","quantity not specified","170"
